,STATE,Crime_Rate,Price_Level,Rent_Price,Cleardays
1,ALABAMA,0.028,95.9,62.8,0.27
2,ALASKA,0.029,101,139.4,0.17
3,ARIZONA,0.017,98.1,91.4,0.53
4,ARKANSAS,0.04,94.7,63.9,0.34
5,CALIFORNIA,0.015,103.6,147.3,0.4
6,COLORADO,0.02,100.1,114.7,0.37
7,CONNECTICUT,0.016,104.5,116.8,0.22
8,DISTRICT OF COLUMBIA,0.027,105.9,154.3,0.29
9,FLORIDA,0.02,98.2,105.4,0.28
10,GEORGIA,0.019,96.8,81.1,0.31
11,HAWAII,0.017,109.2,163.4,0.25
12,ILLINOIS,0.016,100.1,99.4,0.26
13,INDIANA,0.024,97.2,74.9,0.24
14,KANSAS,0.015,95.8,74.6,0.35
15,KENTUCKY,0.023,94.3,68.9,0.25
16,LOUISIANA,0.026,96.2,76.2,0.28
17,MARYLAND,0.031,103.4,123.9,0.29
18,MASSACHUSETTS,0.016,100.7,123.3,0.27
19,MICHIGAN,0.012,97.7,81.1,0.19
20,MINNESOTA,0.018,100.8,95,0.26
21,MISSISSIPPI,0.023,93.9,63.1,0.3
22,MISSOURI,0.03,95.2,73.6,0.32
23,MONTANA,0.026,98.5,85.5,0.22
24,NEBRASKA,0.017,95.9,76.3,0.32
25,NEVADA,0.019,96.8,95.3,0.43
26,NEW HAMPSHIRE,0.018,100.1,118.1,0.25
27,NEW JERSEY,0.011,102.7,132.8,0.26
28,NEW MEXICO,0.023,97.3,81.2,0.46
29,NEW YORK,0.015,108.6,133.9,0.17
30,NORTH CAROLINA,0.017,96,78.7,0.3
31,NORTH DAKOTA,0.016,95.2,86.4,0.25
32,OHIO,0.027,96,72.9,0.2
33,OKLAHOMA,0.021,95.4,72,0.38
34,OREGON,0.021,98.7,101.5,0.19
35,PENNSYLVANIA,0.017,99.6,88.7,0.24
36,RHODE ISLAND,0.003,98.3,100.2,0.27
37,SOUTH CAROLINA,0.025,96.3,76.3,0.32
38,SOUTH DAKOTA,0.018,95,68.5,0.28
39,TENNESSEE,0.026,95.9,73.7,0.28
40,UTAH,0.03,97.1,91.2,0.34
41,VIRGINIA,0.016,99.5,111.8,0.27
42,WASHINGTON,0.028,103.8,113.2,0.16
43,WISCONSIN,0.016,96.2,85.9,0.24